City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,campos belos,-13.0367,-46.7717,306.29,20,1,1.41,BR,1691611574
265,selfoss,63.9331,-20.9971,286.51,71,100,3.5,IS,1691611316
266,parham,17.0968,-61.7705,303.98,42,40,3.6,AG,1691611577
267,masterton,-40.9597,175.6575,276.97,99,100,1.99,NZ,1691611578
268,buala,-8.145,159.5921,298.7,87,100,3.36,SB,1691611578
269,qrendi,35.8347,14.4583,295.96,73,20,3.09,MT,1691611579
270,kongolo,-5.3833,27.0,300.87,30,16,1.64,CD,1691611580
271,witu,-2.3889,40.4382,297.24,85,16,5.4,KE,1691611581
272,lidkoping,58.5052,13.1577,287.16,93,100,4.09,SE,1691611582
273,ambovombe,-25.1667,46.0833,293.03,85,0,5.27,MG,1691611582
274,ceres,37.5949,-120.9577,307.48,37,0,3.6,US,1691611583
275,wanning,18.8003,110.3967,299.97,77,100,3.09,CN,1691611584
276,nantucket,41.2835,-70.0995,302.18,62,0,7.72,US,1691611473
277,susuman,62.7833,148.1667,279.88,90,92,1.0,RU,1691611585
278,fort bragg,35.139,-79.006,306.43,40,40,2.57,US,1691611586
279,porto velho,-8.7619,-63.9039,305.18,70,20,1.54,BR,1691611586
280,korsakov,46.6328,142.7813,289.06,93,100,3.99,RU,1691611587
281,tangalle,6.024,80.7911,298.83,89,100,4.11,LK,1691611587
282,paracuru,-3.41,-39.0306,300.43,73,88,6.08,BR,1691611588
283,sanctuary point,-35.1114,150.629,288.33,53,86,3.18,AU,1691611588
284,arish,31.1316,33.7984,299.16,68,0,1.71,EG,1691611589
285,bayanhongor,46.7167,100.1167,283.05,87,5,0.42,MN,1691611589
286,amuntai,-2.4177,115.2494,295.43,91,60,0.8,ID,1691611589
287,presque isle,46.6811,-68.0159,293.39,78,100,4.63,US,1691611475
288,fortuna,40.5982,-124.1573,295.89,73,40,4.63,US,1691611590
289,newman,37.3138,-121.0208,304.85,17,0,2.65,US,1691611590
290,bodo,67.28,14.405,292.47,55,0,6.17,NO,1691611589
291,torredembarra,41.1451,1.3986,299.79,63,20,2.06,ES,1691611591
292,afaahiti,-17.75,-149.2833,299.08,71,94,6.51,PF,1691611476
293,geraldton,-28.7667,114.6,282.38,87,100,2.57,AU,1691611439
294,saipan,15.1355,145.701,301.54,100,100,3.6,MP,1691611592
